email,date_of_transaction,amount
user76@example.com,2023-06-15T04:38:07.014190Z,22.08
user77@example.com,2023-03-01T04:38:07.578729Z,345.43
user78@example.com,2022-12-25T04:38:07.984425Z,420.93
user79@example.com,2023-09-02T04:38:07.383660Z,872
user80@example.com,2023-07-06T04:38:07.302371Z,126.66
user81@example.com,2023-08-01T04:38:07.303568Z,844.34
user82@example.com,2023-06-02T04:38:07.256112Z,782.22
user83@example.com,2023-03-20T04:38:07.735061Z,580.66
user84@example.com,2023-12-09T04:38:07.988737Z,456.59
user85@example.com,2023-01-18T04:38:07.598711Z,228.29
user86@example.com,2023-03-05T04:38:07.053627Z,738.91
user87@example.com,2023-03-16T04:38:07.268488Z,114.58
user88@example.com,2023-02-06T04:38:07.547880Z,700.01
user89@example.com,2023-11-23T04:38:07.795758Z,728.08
user90@example.com,2023-01-23T04:38:07.264297Z,930.04
user91@example.com,2023-10-17T04:38:07.530337Z,184.76
user92@example.com,2023-08-01T04:38:07.427649Z,487.77
user93@example.com,2022-12-11T04:38:07.736508Z,443.49
user94@example.com,2023-02-27T04:38:07.002332Z,708.35
user95@example.com,2023-10-15T04:38:07.575397Z,464.88
user96@example.com,2023-09-15T04:38:07.233040Z,79.6
user97@example.com,2023-08-04T04:38:07.112514Z,24.93
user98@example.com,2023-09-17T04:38:07.075668Z,198.71
user99@example.com,2023-09-21T04:38:07.225611Z,970
